date,Y_RCY@KAU.A,YL_RCY@KAU.A,YLAGFA_RCY@KAU.A,YL_NF_RCY@KAU.A,YSOCSEC_RCY@KAU.A,YDIV_RCY@KAU.A,YTRNSF_RCY@KAU.A,NR@KAU.A,YPC_RCY@KAU.A
1969-01-01,785915.05202537,653472.939602537,129440.53172093024,525255.5344439746,38837.78308668076,119247.81036786472,54316.66061733615,,
1970-01-01,809339.5470633166,656058.326641206,122297.4952040201,535117.5389909548,38910.10531055276,130070.15966231156,64166.252333668344,29.8,27159.045203467
1971-01-01,864104.7972365883,694566.4260903127,112978.52776534157,583134.230968738,44112.18641451177,140433.9525897337,78157.16984947897,30.9,27964.556544873405
1972-01-01,892079.3347982062,705815.82367713,103519.07430493273,603961.7023766816,47681.023542600895,147994.44206278026,92609.90461883409,31.9,27964.869429410857
1973-01-01,957179.6265236053,753111.0849356225,117264.64197424895,637451.8305150216,58780.96798283263,168095.96862660948,104956.67072961376,32.9,29093.6056694105
1974-01-01,1178788.173346266,960124.9881668284,332810.72128031036,628899.8732880699,61349.53039767216,174174.83200775945,118485.1102230844,32.6,36159.14642166459
1975-01-01,1040186.3548155829,809115.3693141757,135538.7923566879,675329.9130795439,61790.32299807436,176072.37742556658,137646.73578432825,33.4,31143.3040363947
1976-01-01,1068782.986384778,836731.0400676533,105441.94503171247,733149.559577167,67389.11864693447,174246.32889640593,149933.75952642708,34.9,30624.154337672724
1977-01-01,1117996.900593209,888901.6257254061,108570.24946986983,782330.5325137567,71826.82842034627,179152.06763119047,149923.33215944172,35.5,31492.870439245333
1978-01-01,1140360.2744992527,900615.3252017939,79441.45168908821,823240.5689088193,78782.9255007474,198564.2833183857,151498.29838565027,36.8,30988.0509374797
1979-01-01,1170385.67113602,923073.640620972,88927.08389396404,836181.433211904,83269.68004035197,214582.57027629888,153662.98964972261,38.1,30718.784019318104
1980-01-01,1309045.4282903324,1051689.173295854,186084.26074490516,867554.2776990264,84253.29743600042,234564.704941271,154437.11867483187,39.4,33224.50325609981
1981-01-01,1218481.4760959651,924035.4897928026,77793.34992366412,847535.3719738277,88921.79347873501,253536.9454961832,171023.9027044711,40.457,30117.93944424859
1982-01-01,1246057.312954487,955644.8006171251,93167.74467472358,863084.0769143739,92173.14223707894,239881.57875032138,178697.85458472613,41.804,29807.131206451224
1983-01-01,1366982.9169912324,1030131.7635809877,108193.97817510596,922562.6842303984,98019.84418844656,282286.88506775186,189196.48830305832,42.796,31941.838419273587
1984-01-01,1358106.620033825,993362.4529209958,83743.29424498674,910240.3917854558,98687.69934766855,302409.31558347435,189698.34988161398,43.634,31124.96264458507
1985-01-01,1417121.5624784557,1042713.9320600507,75704.04095925132,967632.2226586079,106724.67606784949,311744.0286434003,197292.06906609476,44.357,31948.093028799416
1986-01-01,1501063.3889939433,1116667.298647671,72238.9241644128,1045071.8042527905,116975.02546341096,327553.8832653995,200980.60820844927,45.567,32941.896306404706
1987-01-01,1527220.65770235,1150722.537737163,59934.69636205397,1091450.9958572674,122666.69890339427,327239.0050304613,195792.14078328985,47.203,32354.31344834756
1988-01-01,1716377.0239342917,1307079.905708419,60317.661700205346,1247563.3237289528,140439.2885420945,370497.095047228,198865.76487885014,48.549,35353.49902025359
1989-01-01,1890958.8931572817,1455196.4395029128,48927.13266019418,1407567.0003106797,156564.67245048546,403096.30249320396,208237.83639611653,49.847,37935.25975800514
1990-01-01,1926106.2629171193,1503553.7889829895,49769.74715888527,1455159.9050741948,165043.42106406082,386076.0527542526,214470.20522620343,51.676,37272.742915804614
1991-01-01,1958277.5590131804,1536806.2445285572,43281.849665427515,1494923.3625278813,172209.73580263605,381311.39132139244,222780.4504629943,53.379,36686.2915943195
1992-01-01,2019190.5218562682,1501807.406793426,32283.20339026749,1471299.359909765,168464.85269738964,385321.47185304546,309230.83475346444,54.439,37090.881938615115
1993-01-01,2046538.6053466587,1515367.445559026,53375.15676452218,1464058.691867583,167877.07780137417,417915.3109556528,291691.65791380394,55.461,36900.49954646795
1994-01-01,2036845.757836524,1498987.7703676694,53339.40933454877,1448088.2639319357,166162.60735338804,410429.0491157703,298109.32312367065,56.478,36064.410174519704
1995-01-01,2084173.630449004,1509934.212881356,51630.597526018435,1461081.810466845,166726.31054415702,404804.1196193875,337554.0016532858,57.068,36520.8808868193
1996-01-01,2046495.6739326501,1469237.1293587117,50232.659256222556,1421774.438746706,163546.6079531479,401908.3326852124,337420.1523162519,57.688,35475.240499456566
1997-01-01,2069164.3613957549,1471167.3544402446,41338.52289619076,1432677.7638150628,162930.56548996802,422961.7020878163,333686.0264030242,57.712,35853.277678745406
1998-01-01,2120105.5347055397,1499077.6076034987,47059.63839067056,1440383.9244431488,166548.92003498544,441701.10676384845,339704.0904606415,57.843,36652.758928574585
1999-01-01,2186755.551353535,1559167.883994228,52576.84992784994,1480503.320727273,172039.44944300145,446747.29304473306,345374.3284963925,58.264,37531.84730457119
2000-01-01,2309291.89627907,1649302.4730232558,48539.72790697675,1565270.6720930233,181403.57953488373,490750.2437209303,341234.99441860465,58.568,39429.24286776175
2001-01-01,2385261.063688341,1723965.6484753366,36408.42195067265,1687557.2265246639,186165.66406950675,476967.1013340808,361106.8735089687,59.075,40376.82714664987
2002-01-01,2455438.335223301,1822478.4313675454,36912.477192787796,1785565.9541747572,197872.89027461858,434241.56059916783,387760.0928377254,59.981,40936.93561666696
2003-01-01,2557726.621512606,1938610.13882353,33132.18957983194,1905477.949243698,212365.37781512612,428118.18252100854,395643.9499159665,60.805,42064.41281987675
2004-01-01,2745481.6371346107,2044075.1477722384,33540.17920755708,2010534.9685646815,215659.89155602205,495855.47346103383,414037.85170296516,62.095,44214.214302836146
2005-01-01,2835926.9491708796,2109567.9527300303,28758.39908998989,2080809.5536400403,226584.8069362993,521587.4282103135,426031.93897876644,62.863,45112.81595168668
2006-01-01,2858717.0263959877,2102667.9795653215,27081.777100549316,2075586.202464772,232008.32178648197,559697.5599999999,425782.9236589444,63.465,45043.993167824585
2007-01-01,2906432.1396876597,2087316.136626212,17177.260660397988,2070138.875965814,236249.1863565129,612500.3683850864,443944.08013521397,64.49,45067.95068518623
2008-01-01,2920226.9701848947,2005880.0426111105,14316.35144553123,1991563.6911655795,226767.3748418797,647807.3361283403,496107.28095062287,65.603,44513.61934949461
2009-01-01,2797176.4105230216,1897719.5650559887,18769.92432883572,1878949.640727153,216166.07860098765,577101.7025403394,539971.3619853249,66.518,42051.42082628794
2010-01-01,2802272.4371032366,1848568.8970021592,11456.192422158738,1837112.7045800004,222765.19566226285,581803.7526110301,598136.8783534652,67.213,41692.41719761411
2011-01-01,2834536.3049478293,1831825.1632446987,10983.17165937395,1820841.991585325,202818.47559744195,613646.1894984854,596409.9912487379,67.898,41746.977892542185
2012-01-01,2887008.053857208,1870278.8601239808,11251.960492956196,1859026.8996310246,202916.240649846,653348.9566268297,572558.3031692619,68.691,42028.912868602994
2013-01-01,2946712.810675636,1962424.8709456376,12381.67351648525,1950043.1974291524,240720.81485011269,646429.8571934911,587048.6735243618,69.66,42301.36104903296
2014-01-01,3109141.9554135553,2035433.847497666,7993.208643985878,2027440.63885368,238814.18429710838,691812.1543541178,629599.3689494331,70.324,44211.676744974066
2015-01-01,3272207.417062249,2129359.313497204,14204.021624738147,2115155.291872466,247053.27347644765,748161.1879153615,650201.6836007917,71.074,46039.443637085984
2016-01-01,3344467.4385015247,2129046.9097906766,7889.865585054451,2121157.0442056223,248003.3126434789,812361.6169901578,659576.678196492,71.575,46726.75429272127
