period,OCUP%@KAU.A,PRM@KAU.A,VISUSW@KAU.A,VISUSE@KAU.A,VISJP@KAU.A,VISCAN@KAU.A,VIS@KAU.A,EMPL@KAU.A,EMPL@HI.A,EMPL@US.A,UR@KAU.A,UR@HI.A,NRBEA@KAU.A,NRBEA@HI.A,YC@KAU.A,YCGVFD@KAU.A,EGVFD@KAU.A,YC_GVSL@KAU.A,E_GVSL@KAU.A,YLAE@KAU.A,EAE@KAU.A,YCAF@KAU.A,EAF@KAU.A,YCRT@KAU.A,ERT@KAU.A,YCWT@KAU.A,EWT@KAU.A,YCCT@KAU.A,ECT@KAU.A,YCAD@KAU.A,EAD@KAU.A,YCPS@KAU.A,EPS@KAU.A,YCED@KAU.A,EED@KAU.A,YCHC@KAU.A,EHC@KAU.A,YCIF@KAU.A,EIF@KAU.A,YCMN@KAU.A,EMN@KAU.A,YCFI@KAU.A,EFI@KAU.A,E_TU@KAU.A,ERE@KAU.A,EMA@KAU.A,PMKRSGF@KAU.A,PMKRCON@KAU.A,KPPRVRSD@KAU.A,E_NF@KAU.A,VEXPPD@KAU.A,VEXPPT@KAU.A,Y_R@KAU.A,YL@KAU.A,HAI@KAU.A,HAICON@KAU.A
display_name,Occupancy Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category,Visitor,Construction,Visitor,Visitor,Visitor,Visitor,Visitor,Employment,Employment,Employment,Employment,Employment,General,General,Income,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Employment,Employment,Employment,Construction,Construction,Construction,Employment,Visitor,Visitor,Income,Income,Construction,Construction
primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/48,,,,,,,,,,58345.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/49,,,,,,,,,,57651.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/50,,,,,,,,,,58921,,,,499000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/51,,,,,,,,,,59963.16667,,,,502000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/52,,,,,,,,,,60253.58333,,,,495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/53,,,,,,,,,,61179.33333,,,,499000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/54,,,,,,,,,,60109.25,,,,504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/55,,,,,,,,,,62170.33333,,,,529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/56,,,,,,,,,,63800.58333,,,,548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/57,,,,,,,,,,64067.91667,,,,573000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/58,,,,,,,,,,63036.33333,,,,605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/59,,,,,,,,,,64629.83333,,,,622000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/60,,,,,,,,,,65776,,,,642000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/61,,,,,,,,,,65745.41667,,,,659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/62,,,,,,,,,,66702.5,,,,684000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/63,,,,,,,,,,67762.83333,,,,682000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/64,,,,,,,,,,69304.41667,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/65,,,,,,,,,,71088.08333,,,,704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/66,,,,,,,,,,72898.16667,,,,710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/67,,,,,,,,,,74371.58333,,,,723000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/68,,,,,,,,,,75920,,,,734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/69,,,,,,,,,,77901.66667,,,30044,743000,79701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283933.1924,93136,,
1/1/70,,,,,,,,,,78678,,,29620,762920,86801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292445.4271,98367,,
1/1/71,,,,,,,,,,79366.5,,,33245,791580,94849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312231.5708,108491,,
1/1/72,,,,,,,,,,82153,,,31864,818104,98337,,0.3,,1.975,,,,2.274258333,,,,,,0.61475,,,,,,,,0.396133333,,,,1.275325,,0.100056505,0.608525,0.194641667,,,,,10.15833333,,,322372.1973,113880,,
1/1/73,,,,,,,,,,85064.91667,,,32530,841851,110593,,0.4,,1.841666667,,,,2.293258333,,,,,,0.706808333,,,,,,,,0.421783333,,,,1.225808333,,0.117049926,0.811433333,0.227141667,,,,,10.69166667,,,345366.9528,126931,,
1/1/74,,,,,,,,,,86794.91667,,,32536,858121,121397,,0.4,,1.85,,,,2.275666667,,,,,,0.862108333,,,,,,,,0.456558333,,,,1.056941667,,0.142000315,0.701766667,0.274516667,,,,,10.66666667,,,425454.8982,178925,,
1/1/75,,,,,,,,,,85847.16667,,,33305,875052,140620,,0.3,,2.1,,,,2.426075,,,,,,0.867491667,,,,,,,,0.544741667,,,,1.2229,,0.191193862,0.737925,0.360208333,,,,,11.6,,,376253.5921,164640,,
1/1/76,,,,,,,,,371343.9167,88753.16667,,9.383333333,34770,892335,157005,,0.3,,2.3,,,,2.659691667,,,,,,0.807883333,,,,,,,,0.567166667,,,,1.212025,,0.216469832,0.786216667,0.407608333,,,,,12.3,,,385062.1564,178945,,
1/1/77,,,,,,,,,384049.0833,92017.16667,,7.891666667,35414,915749,174437,,0.3,,2.341666667,,,,2.905258333,,,,,,0.683908333,,,,,,,,0.633458333,,,,1.125808333,,0.256086411,0.962925,0.475666667,,,,,13.04166667,,,402353.5096,199646,,
1/1/78,,,,,,,,,388851.75,96048.75,,7.075,36700,928816,195941,,0.3,,2.433333333,,,,3.039725,,,,,,0.7043,,,,,,,,0.71555,,,,1.180525,,0.292040103,0.983383333,0.540875,,,,,13.68333333,,,411572.4963,217951,,
1/1/79,,,,,,,,,399647.3333,98826.25,,6.083333333,38016,950050,219675,,0.3,,2.441666667,,,,3.22415,,,,,,0.930816667,,,,,,,,0.815925,,,,1.203975,,0.315305145,0.935491667,0.581775,,,,,14.28333333,,,422463.4871,248226,,
1/1/80,,,,,,,,,416796.75,99302.75,,5.025,39369,967710,250740,,0.3,,2.483333333,,,,3.450208333,,,,,,1.405258333,,,,,,,,0.884766667,,,,1.214591667,,0.332298813,0.9388,0.611941667,,,,,15.15833333,,,470837.0646,315654,,
1/1/81,,,,,,,,,425803.3333,100397.3333,,5.408333333,40457,978195,272360,,0.3,,2.5,,,,3.6113,,,,,,1.101041667,,,,,,,,0.9573,,,,1.239133333,,0.312201649,0.951041667,0.569875,,,,,15.24166667,,,437331.5158,306241,,
