date,E_NF@KAU.A,UR@KAU.A,Y_RCY@KAU.A,NR@KAU.A,YPC_RCY@KAU.A,VIS@KAU.A,VDAY@KAU.A,PMKRSGF@KAU.A,KPPRVRSD_R@KAU.A,ECT@KAU.A
1969-01-01,,,785915.05202537,,,,,,,
1970-01-01,,,809339.5470633166,29.8,27159.045203467,,,,,
1971-01-01,,,864104.7972365883,30.9,27964.556544873405,,,,,
1972-01-01,10.158333333333333,,892079.3347982062,31.9,27964.869429410857,,,,,0.61475
1973-01-01,10.691666666666668,,957179.6265236053,32.9,29093.6056694105,,,,,0.7068083333333334
1974-01-01,10.666666666666666,,1178788.173346266,32.6,36159.14642166459,,,,,0.8621083333333334
1975-01-01,11.6,,1040186.3548155829,33.4,31143.3040363947,,,,,0.8674916666666667
1976-01-01,12.299999999999999,,1068782.986384778,34.9,30624.154337672724,,,,,0.8078833333333334
1977-01-01,13.041666666666664,,1117996.900593209,35.5,31492.870439245333,,,,,0.6839083333333335
1978-01-01,13.683333333333335,,1140360.2744992527,36.8,30988.0509374797,,,,,0.7043
1979-01-01,14.283333333333333,,1170385.67113602,38.1,30718.784019318104,,,,,0.9308166666666666
1980-01-01,15.158333333333331,,1309045.4282903324,39.4,33224.50325609981,,,,,1.4052583333333333
1981-01-01,15.241666666666667,,1218481.4760959651,40.457,30117.93944424859,,,,,1.1010416666666667
1982-01-01,15.149999999999999,,1246057.312954487,41.804,29807.131206451224,,,,,0.8069416666666667
1983-01-01,15.741666666666667,,1366982.9169912324,42.796,31941.838419273587,,,,,1.0282583333333333
1984-01-01,15.741666666666667,,1358106.620033825,43.634,31124.96264458507,,,,,0.6455666666666666
1985-01-01,16.725,,1417121.5624784557,44.357,31948.093028799416,,,,,0.7642666666666668
1986-01-01,17.916666666666668,,1501063.3889939433,45.567,32941.896306404706,,,,,0.8597333333333333
1987-01-01,19.316666666666666,,1527220.65770235,47.203,32354.31344834756,,,,,0.9840916666666668
1988-01-01,21.025,,1716377.0239342917,48.549,35353.49902025359,,,,,0.9894666666666667
1989-01-01,23.191666666666663,,1890958.8931572817,49.847,37935.25975800514,,,,114.69979215035933,1.6027500000000001
1990-01-01,24.049999999999997,3.9416666666666664,1926106.2629171193,51.676,37272.742915804614,1228.8495433326977,,,168.50683491062043,1.7999999999999998
1991-01-01,25.241666666666664,4.241666666666666,1958277.5590131804,53.379,36686.2915943195,1182.3263306884685,,,66.53035306070612,1.7000000000000002
1992-01-01,24.566666666666666,9.825000000000001,2019190.5218562682,54.439,37090.881938615115,881.7303428377161,5042.545358,,73.94641987335606,1.7000000000000002
1993-01-01,22.40833333333333,13.291666666666664,2046538.6053466587,55.461,36900.49954646795,576.3656999692801,2975.377578,,52.9045077371608,2.8249999999999997
1994-01-01,22.924999999999997,13.100000000000001,2036845.757836524,56.478,36064.410174519704,860.7187509557822,4830.6786440000005,246874.99999999997,96.51252475247526,1.883333333333333
1995-01-01,23.50833333333333,11.466666666666667,2084173.630449004,57.068,36520.8808868193,929.1500804582583,5213.998818,244687.50000000003,38.72573965748114,1.5833333333333335
1996-01-01,23.333333333333332,12.025,2046495.6739326501,57.688,35475.240499456566,975.4363452584432,5481.217457999999,220499.99999999997,44.308022301871766,1.25
1997-01-01,23.391666666666666,10.958333333333334,2069164.3613957549,57.712,35853.277678745406,997.0867190284379,5936.905071,228375.0,37.48753593296809,0.9916666666666667
1998-01-01,23.941666666666666,9.65,2120105.5347055397,57.843,36652.758928574585,1078.3995818226833,6279.755435,228625.0,39.262240805265186,0.8999999999999999
1999-01-01,24.608333333333334,7.408333333333332,2186755.551353535,58.264,37531.84730457119,1089.288604524476,6400.674916999999,234500.00000000003,63.13978043143295,0.8833333333333333
2000-01-01,25.566666666666666,4.8500000000000005,2309291.89627907,58.568,39429.24286776175,1074.8214350313915,6620.566012,257137.5,71.85984864821458,1.0750000000000002
2001-01-01,25.645833333333332,5.349999999999999,2385261.063688341,59.075,40376.82714664987,1008.697785076027,6155.9986819999995,289874.99999999994,94.14425634161138,1.0708333333333333
2002-01-01,26.016666666666666,4.575,2455438.335223301,59.981,40936.93561666696,1005.8972880585242,6335.030228,323750.0,115.21690143750737,1.2625
2003-01-01,27.033333333333342,4.216666666666667,2557726.621512606,60.805,42064.41281987675,975.8669847939974,6631.754502999997,368750.00000000006,99.0704076482119,1.3083333333333331
2004-01-01,28.058333333333337,3.533333333333333,2745481.6371346107,62.095,44214.214302836146,1020.9213095233731,7011.303563999998,495000.0,80.11057789627833,1.3249999999999997
2005-01-01,28.808333333333326,2.8249999999999997,2835926.9491708796,62.863,45112.81595168668,1090.147411375561,7172.753028999999,626875.0,164.55461380056295,1.475
2006-01-01,29.641666666666666,2.558333333333333,2858717.0263959877,63.465,45043.993167824585,1204.1321332619984,7696.079011999998,678000.0,124.3659734708584,1.7583333333333333
2007-01-01,30.354166666666668,2.6999999999999997,2906432.1396876597,64.49,45067.95068518623,1299.0449529164794,8141.137648,636875.0,129.52540800551645,1.8874999999999997
2008-01-01,29.837499999999995,4.8583333333333325,2920226.9701848947,65.603,44513.61934949461,1030.648,7272.214535000001,605729.1666666667,126.41408158994795,2.0124999999999997
2009-01-01,27.516666666666666,9.766666666666667,2797176.4105230216,66.518,42051.42082628794,928.1121416968947,6831.314553999999,482565.4166666666,98.12411489521789,1.5958333333333334
2010-01-01,27.65833333333333,8.741666666666669,2802272.4371032366,67.213,41692.41719761411,964.7238391927714,7134.700782999999,492750.00000000006,30.706082845924872,1.5666666666666669
2011-01-01,27.766666666666666,8.683333333333332,2834536.3049478293,67.898,41746.977892542185,1011.4995439493898,7617.26964,474250.0,26.31212467649821,1.3499999999999999
2012-01-01,28.208333333333332,7.333333333333332,2887008.053857208,68.691,42028.912868602994,1084.6809774026303,8170.488786621288,474166.66666666674,34.45479616456106,1.3083333333333333
2013-01-01,29.08333333333333,5.683333333333334,2946712.810675636,69.66,42301.36104903296,1114.3542457913386,8496.907054723317,519658.3333333333,35.01500846152095,1.3416666666666666
2014-01-01,29.533333333333335,4.833333333333333,3109141.9554135553,70.324,44211.676744974066,1119.972890950603,8590.465774204094,547208.3333333333,39.26776024933381,1.3083333333333331
2015-01-01,30.016666666666666,4.033333333333333,3272207.417062249,71.074,46039.443637085984,1173.7520340973601,8907.561973062557,631145.833333333,38.63059007982611,1.5083333333333335
2016-01-01,30.616666666666664,3.2083333333333335,3344467.4385015247,71.575,46726.75429272127,1187.2687988315658,9080.229980830798,628333.2500000001,49.697818997580825,1.725
2017-01-01,31.36666666666667,2.433333333333333,3442622.8977626152,71.78,47960.75366066614,1285.4427710843845,9641.67682760256,657463.5833333333,51.696846152519946,1.8166666666666664
2018-01-01,31.708333333333332,2.516666666666667,3564549.0,72.133,49416.34203485229,1389.3004230182687,10388.9517393715,707874.9999999998,51.10743163881051,1.9
