date,E_NF@KAU.M,UR@KAU.M,VIS@KAU.M,VDAY@KAU.M,ECT@KAU.M
1972-01-01,9.978764407,,,,0.599611814
1972-02-01,9.986054237,,,,0.600187071
1972-03-01,9.985901554,,,,0.599845324
1972-04-01,10.04095212,,,,0.602414005
1972-05-01,10.07884364,,,,0.602890209
1972-06-01,10.16683814,,,,0.607055035
1972-07-01,10.17677232,,,,0.612182179
1972-08-01,10.22280805,,,,0.615517461
1972-09-01,10.22894463,,,,0.626847084
1972-10-01,10.29446864,,,,0.629612305
1972-11-01,10.37300325,,,,0.64003869
1972-12-01,10.38916822,,,,0.640561828
1973-01-01,10.50754767,,,,0.667987588
1973-02-01,10.59209397,,,,0.685658599
1973-03-01,10.65967356,,,,0.696064673
1973-04-01,10.42388611,,,,0.693780488
1973-05-01,10.67048955,,,,0.698945018
1973-06-01,10.68791333,,,,0.701046081
1973-07-01,10.6670714,,,,0.712288963
1973-08-01,10.6975018,,,,0.710764208
1973-09-01,10.7560218,,,,0.716777935
1973-10-01,10.85993439,,,,0.737226527
1973-11-01,10.87220645,,,,0.728486349
1973-12-01,10.87256883,,,,0.732524635
1974-01-01,10.56140049,,,,0.856911154
1974-02-01,10.52161207,,,,0.850320914
1974-03-01,10.46958765,,,,0.840597084
1974-04-01,10.45152424,,,,0.832404523
1974-05-01,10.56245482,,,,0.852372472
1974-06-01,10.80024215,,,,0.871936275
1974-07-01,10.75123465,,,,0.87278023
1974-08-01,10.76944098,,,,0.878151662
1974-09-01,10.82663544,,,,0.873549683
1974-10-01,10.76949496,,,,0.878038447
1974-11-01,10.76769434,,,,0.873074018
1974-12-01,10.77149883,,,,0.865305767
1975-01-01,11.47856728,,,,0.912944771
1975-02-01,11.52011377,,,,0.910380229
1975-03-01,11.57987532,,,,0.909932703
1975-04-01,11.59124494,,,,0.901641114
1975-05-01,11.58617937,,,,0.896407736
1975-06-01,11.57564217,,,,0.871533838
1975-07-01,11.6150467,,,,0.861390637
1975-08-01,11.65201826,,,,0.866930571
1975-09-01,11.63966395,,,,0.847735572
1975-10-01,11.65249538,,,,0.828618468
1975-11-01,11.67770818,,,,0.812837267
1975-12-01,11.65500279,,,,0.789419802
1976-01-01,12.12224221,,,,0.853191691
1976-02-01,12.14656452,,,,0.843074667
1976-03-01,12.17133419,,,,0.830296907
1976-04-01,12.28277301,,,,0.828214252
1976-05-01,12.27957466,,,,0.814243803
1976-06-01,12.35033657,,,,0.797694379
1976-07-01,12.32834609,,,,0.788730546
1976-08-01,12.32833553,,,,0.779349269
1976-09-01,12.337758,,,,0.787115795
1976-10-01,12.41337733,,,,0.789620514
1976-11-01,12.43351854,,,,0.791262685
1976-12-01,12.47574532,,,,0.791847184
1977-01-01,12.93452489,,,,0.715499726
1977-02-01,12.91172352,,,,0.708981296
1977-03-01,12.9350873,,,,0.702654645
1977-04-01,12.99432951,,,,0.706757252
1977-05-01,13.03927187,,,,0.708774097
1977-06-01,13.04968924,,,,0.70706117
1977-07-01,13.07549862,,,,0.702313816
1977-08-01,13.10138783,,,,0.702105722
1977-09-01,13.06749056,,,,0.654503507
1977-10-01,13.10036823,,,,0.633727136
1977-11-01,13.08426866,,,,0.617771096
1977-12-01,13.22411393,,,,0.646894005
1978-01-01,13.25086276,,,,0.661779153
1978-02-01,13.35062154,,,,0.666836738
1978-03-01,13.42189128,,,,0.673305975
1978-04-01,13.4865392,,,,0.681953877
1978-05-01,13.55524508,,,,0.682056015
1978-06-01,13.65628398,,,,0.693469577
1978-07-01,13.73884272,,,,0.697586832
1978-08-01,13.80028853,,,,0.719862451
1978-09-01,13.87678029,,,,0.734947767
1978-10-01,13.96267895,,,,0.741581747
1978-11-01,14.0400338,,,,0.741754531
1978-12-01,14.06140421,,,,0.756484171
1979-01-01,14.04178967,,,,0.888706565
1979-02-01,14.18362732,,,,0.892628045
1979-03-01,14.21711198,,,,0.903312046
1979-04-01,14.20897735,,,,0.900317385
1979-05-01,14.24525693,,,,0.90936197
1979-06-01,14.26438636,,,,0.902320019
1979-07-01,14.31302377,,,,0.933203975
1979-08-01,14.40785529,,,,0.945035984
1979-09-01,14.44054969,,,,0.967711982
1979-10-01,14.42071337,,,,0.978263979
1979-11-01,14.2669819,,,,0.976506592
1979-12-01,14.41394901,,,,0.97284894
1980-01-01,15.05468288,,,,1.442331774
1980-02-01,15.11110253,,,,1.487475385
1980-03-01,15.16169678,,,,1.468215662
1980-04-01,15.22189374,,,,1.448241852
1980-05-01,15.15441598,,,,1.443807658
1980-06-01,15.13210469,,,,1.442454418
1980-07-01,15.22201753,,,,1.416585443
1980-08-01,15.18838555,,,,1.414437777
1980-09-01,15.00798972,,,,1.197173592
1980-10-01,15.19634904,,,,1.360653605
1980-11-01,15.2238668,,,,1.372208147
1980-12-01,15.23360079,,,,1.368882465
1981-01-01,15.2921005,,,,1.168608089
1981-02-01,15.25123934,,,,1.161228006
1981-03-01,15.27624478,,,,1.135670636
1981-04-01,15.23855777,,,,1.131964603
1981-05-01,15.27275433,,,,1.110687744
1981-06-01,15.25693626,,,,1.103214115
1981-07-01,15.23653204,,,,1.100191057
1981-08-01,15.20475281,,,,1.089261385
1981-09-01,15.23370429,,,,1.083798473
1981-10-01,15.23634754,,,,1.070622309
1981-11-01,15.21126303,,,,1.047214596
1981-12-01,15.14964371,,,,1.009061968
1982-01-01,15.18778048,,,,0.880017041
1982-02-01,15.1761918,,,,0.851390623
1982-03-01,15.1793896,,,,0.84031598
1982-04-01,15.15584808,,,,0.823741853
1982-05-01,15.15418659,,,,0.8160363
1982-06-01,15.1769353,,,,0.803706013
1982-07-01,15.11076414,,,,0.792986795
1982-08-01,15.1381028,,,,0.781241106
1982-09-01,15.13526537,,,,0.771211429
1982-10-01,15.12762936,,,,0.765740684
1982-11-01,15.1314834,,,,0.757487308
1982-12-01,15.14266619,,,,0.799956899
1983-01-01,15.59928186,,,,1.048354736
1983-02-01,15.60505202,,,,1.042114056
1983-03-01,15.60941936,,,,1.042784026
1983-04-01,15.57982066,,,,1.031911417
1983-05-01,15.5531361,,,,1.024517329
1983-06-01,15.58157612,,,,1.012024192
1983-07-01,15.83464539,,,,1.017533941
1983-08-01,15.88298838,,,,1.027681316
1983-09-01,15.85206436,,,,1.031944432
1983-10-01,15.9212055,,,,1.033435712
